Id,Latitude,Longitude
5937,-27.936337,28.968795
,,
4A5A,-28.226941,28.308626
,,
4999,-28.245298,28.300933
,,
4482,-26.911656,27.447223
,,
DB63,-30.207046,26.516733
,,
9F54,-30.41471,26.815959
,,
7CEF,-28.629642,28.800639
,,
74E3,-29.176254,26.629756
,,
5976,-29.095117,26.173789
,,
436C,-29.195959,26.817539
,,
A162,-29.218112,26.67163
,,
507C,-27.804874,28.453757
,,
4B42,-26.994528,28.211964
,,
5A01,-27.266165,27.978957
,,
4993,-28.694538,26.459487
,,
5027,-26.816604,27.830788
,,
4464,-27.429395,29.165023
,,
4560,-28.239543,28.341645
,,
5014,-27.851871,26.363917
,,
49EC,-28.553389,28.776714
,,
A779,-28.574011,25.308715
,,
8F52,-27.951732,25.706725
,,
49CA,-27.950954,27.595851
,,
5926,-27.885605,27.909124
,,
A134,-29.723288,27.031443
,,
9F61,-27.754064,26.646926
,,
9773,-29.296554,27.443614
,,
A700,-27.014693,28.621051
,,
4341,-29.236118,27.374599
,,
C099,-28.878064,27.857892
,,
49FE,-29.103756,26.31586
,,
49F2,-29.052467,26.199357
,,
4AEB,-29.191596,26.237809
,,
49B4,-29.122463,26.208321
,,
9C4C,-29.237901,26.172604
,,
E032,-27.915046,26.796733
,,
4371,-29.229065,26.730433
,,
4AF7,-29.190049,26.927752
,,
756F,-30.611232,26.70318
,,
5095,-28.221511,28.331385
,,
5924,-28.268904,28.329256
,,
49CC,-28.242595,28.309521
,,
E033,-28.295523,27.945404
,,
E031,-28.617818,28.211735
,,
4A95,-28.289189,29.113946
,,
49AE,-27.167991,28.70187
,,
5040,-29.193861,27.432253
,,
4B0B,-27.649051,27.232235
,,
5085,-28.105677,26.865409
,,
44DE,-27.663381,27.234143
,,
4A68,-26.210636,28.121616
,,
49F9,-26.040214,28.068037
,,
DDA5,-26.147317,28.102342
,,
DD2C,-25.99744,28.128383
,,
5090,-26.672231,27.929474
,,
4420,-25.807833,28.524599
,,
520D,-25.809153,28.744602
,,
507F,-25.849684,28.247408
,,
4369,-26.359292,27.398449
,,
A184,-26.657091,27.849669
,,
5051,-25.680041,28.217962
,,
4372,-25.604017,27.996557
,,
4A63,-25.516285,28.06212
,,
5015,-26.303445,28.447501
,,
A937,-26.409508,27.829269
,,
A18D,-26.581367,27.877799
,,
435E,-26.276457,28.01054
,,
A6EF,-25.921472,28.16661
,,
509C,-25.645414,28.244516
,,
503A,-25.680127,28.268284
,,
509F,-26.120786,27.817825
,,
437B,-26.003502,28.414806
,,
4424,-25.991248,28.066682
,,
4A73,-26.196686,28.422397
,,
4FFC,-26.08197,27.781802
,,
A10C,-26.247146,27.856073
,,
DBB6,-26.280595,28.0382
,,
4A2C,-26.172265,27.758658
,,
498A,-26.08521,28.281288
,,
9FDC,-25.460082,28.118921
,,
A704,-26.149182,27.864275
,,
4A6A,-25.803285,28.295055
,,
595D,-25.980372,28.119755
,,
5081,-26.186564,28.146628
,,
43EA,-26.25884,28.083998
,,
5228,-26.32997,28.11792
,,
7D52,-26.034407,28.157369
,,
503B,-26.390569,28.00133
,,
50B7,-25.949562,28.117497
,,
521E,-26.253265,28.186547
,,
596B,-25.691838,28.213108
,,
A69E,-26.105829,27.804844
,,
5028,-26.160796,27.95629
,,
DD23,-25.676692,28.522405
,,
5967,-25.71879,28.697754
,,
4983,-26.124782,28.365433
,,
596C,-26.427193,27.391766
,,
49A1,-25.792038,28.158038
,,
49F0,-25.840052,28.270225
,,
9CE1,-26.493032,28.538319
,,
4987,-26.07254,27.974908
,,
5956,-26.237746,28.363315
,,
497B,-26.009227272594956,28.21542665362358
,,
A170,-25.439675,28.513393
,,
C07F,-26.119968,28.45882
,,
DDB0,-26.274078,27.804653
,,
5100,-26.221048,27.636536
,,
5201,-26.321627,27.83678
,,
58FF,-26.050049,27.968761
,,
49F8,-26.229598,28.433405
,,
58F8,-26.323192,28.253704
,,
5001,-26.265318,28.508697
,,
50AE,-25.536909,28.100561
,,
5954,-26.348493,28.222056
,,
A677,-26.159319,28.321185
,,
5930,-26.065315,28.258567
,,
51D0,-25.768546,28.075679
,,
507D,-26.019083,28.235961
,,
49BF,-26.101753,28.338957
,,
9FB2,-25.872743,28.372189
,,
4986,-26.128106,27.971716
,,
520A,-26.148991,28.372947
,,
4AF0,-26.128455,27.906157
,,
11957,-25.827743,28.268257
,,
5022,-26.279926,28.449464
,,
A151,-25.788101,28.097674
,,
5947,-26.123375,28.031194
,,
43E6,-26.128362,28.286252
,,
A669,-26.270902,27.935514
,,
5005,-25.748549,28.090185
,,
5030,-26.071716,27.759302
,,
4379,-26.244514,27.940926
,,
A71C,-26.258944,28.390304
,,
51EB,-26.181862,27.942802
,,
5007,-26.275827,28.340534
,,
49D7,-26.227372,28.473028
,,
5958,-25.841165,28.250959
,,
A7AA,-26.084239,28.050835
,,
49A7,-26.258985,27.997312
,,
5033,-26.123318,28.253745
,,
5013,-26.216869,27.870829
,,
49A6,-25.375167,28.238586
,,
5021,-26.103653,28.000397
,,
44A3,-25.508813,28.117823
,,
58EE,-26.497282,28.362694
,,
507A,-25.39017,28.301078
,,
595A,-26.70806,27.879681
,,
43E5,-26.359832,28.385021
,,
5936,-26.220316,27.903008
,,
50A0,-26.123977,28.048758
,,
5020,-26.242675,27.985035
,,
4484,-26.419341,28.472533
,,
50A4,-26.144346,27.914715
,,
43DC,-26.135334,27.739959
,,
5026,-25.631897,28.096582
,,
50BB,-25.887126,28.688378
,,
44A4,-25.948593,28.482786
,,
5096,-25.904655,28.158022
,,
50A3,-25.85162,28.160988
,,
4B20,-25.767049,28.46717
,,
4556,-26.396393,27.869213
,,
4A17,-26.151971,28.416131
,,
4B1E,-26.164169,28.183225
,,
4B11,-26.137464,27.99633
,,
9C49,-25.685381,28.109887
,,
5025,-25.71153,28.378082
,,
501E,-25.409212,28.266429
,,
57FB,-25.803721,28.280468
,,
5961,-26.311567,28.412034
,,
833F,-26.155981,28.064035
,,
8ABC,-26.157522,27.804442
,,
DB66,-26.241643,27.825923
,,
4B30,-26.149389,27.704428
,,
5099,-25.740772,28.357279
,,
4A6D,-25.703562,28.349205
,,
4A57,-26.322011,27.680308
,,
A69D,-26.246808,28.316397
,,
497C,-26.173103,28.211675
,,
5247,-25.752439,28.162806
,,
A6E5,-25.785813,28.243894
,,
9F33,-26.196098,28.280693
,,
83E3,-26.195923,28.363352
,,
593D,-26.058739,28.176292
,,
845B,-25.887339,28.073113
,,
521B,-26.275177,27.835705
,,
A1FC,-26.240573,27.897743
,,
9BE9,-26.218364,27.835749
,,
843A,-26.209893,28.025012
,,
9F62,-26.457373,27.767345
,,
43F3,-26.367678,27.891145
,,
5218,-26.114713,28.108789
,,
754E,-26.555108,28.326549
,,
5929,-26.294893,28.392379
,,
74E9,-25.845658,28.104828
,,
A79F,-26.235474,28.090809
,,
4A76,-25.982393,28.015052
,,
5220,-26.298957,27.913806
,,
754D,-26.237106,28.016056
,,
7237,-26.327389,27.324241
,,
5098,-25.986718,28.239617
,,
9F5B,-25.920608,28.017977
,,
A771,-25.980429,28.199158
,,
8460,-26.333128,28.356215
,,
5340,-25.784394,28.031892
,,
7571,-25.407679,28.174892
,,
A6EA,-25.911517,28.092839
,,
9C39,-26.470458,27.852189
,,
A1F0,-26.023319,28.184958
,,
A934,-26.265112,27.620176
,,
521F,-25.470469,28.058421
,,
524D,-26.132285,28.202902
,,
A150,-26.505872,27.468621
,,
4A6C,-25.812187,28.108342
,,
A13E,-25.723519,28.140703
,,
9CE8,-25.985061,28.157683
,,
9F57,-26.130318,28.072467
,,
43EF,-26.076621,27.923285
,,
4A1C,-26.11387,27.94761
,,
A143,-25.738847,28.216039
,,
9F34,-25.777337,28.317998
,,
DE51,-26.8615,28.2454444
,,
9F39,-25.829024,28.338427
,,
5A0C,-26.090701,27.963055
,,
43D3,-26.077713,28.195683
,,
5065,-25.732463,28.297397
,,
A736,-25.936572,28.145455
,,
4B13,-26.013792,28.122044
,,
A78F,-26.278745,28.167894
,,
73E3,-26.197006,27.922792
,,
A702,-25.997128,28.039798
,,
4900,-26.675008,27.783966
,,
979E,-25.774613,28.240998
,,
A70E,-26.276181,27.771246
,,
A73D,-25.788983,28.283915
,,
A760,-26.056847,28.085203
,,
A723,-26.063978,27.940608
,,
A72F,-26.343679,27.861566
,,
A77E,-25.67061,28.15637
,,
A657,-25.713,28.27098
,,
A743,-26.2833,28.06376
,,
A703,-26.2612,28.0521
,,
A733,-26.2041,28.2482
,,
A786,-26.28598,27.71448
,,
A74E,-26.02694,27.98575
,,
A6D7,-26.18817,27.99072
,,
A75A,-26.28136,28.23501
,,
49F6,-26.062705,28.230323
,,
5037,-25.80677,28.22994
,,
A721,-25.9784,28.0939
,,
8F58,-26.135342,28.175543
,,
A742,-26.168509,28.108664
,,
A701,-26.309,28.1097
,,
8C35,-26.3434,28.15565
,,
5315,-26.04036,28.21714
,,
81A2,-25.5039222,28.0943694
,,
A76E,-26.2257,28.25328
,,
4A29,-26.08946,28.06316
,,
4B44,-26.104383,28.228002
,,
9F90,-25.996441,27.995815
,,
A7DD,-25.83335,28.18165
,,
9CE7,-26.16665,27.90919
,,
A746,-26.124488,28.228755
,,
A6A9,-26.228,28.17857
,,
A76A,-26.196584,28.215972
,,
DB64,-26.2419,28.33773
,,
A7F7,-26.33409,28.39225
,,
A6E6,-26.162507,28.294145
,,
A66C,-26.050624,28.100311
,,
A731,-26.13845,28.02044
,,
5962,-26.59229,27.83965
,,
DB5B,-25.8995,28.13198
,,
DB71,-26.14337,28.14688
,,
4981,-26.200765,28.092399
,,
A726,-26.38286,27.80967
,,
A772,-26.0818,28.1261
,,
A73E,-26.3311,27.6579
,,
A6EB,-25.70832,28.19224
,,
A799,-26.294722,28.587508
,,
A684,-26.12388,27.87497
,,
A6F9,-26.10637,27.84287
,,
498C,-26.23693,28.07015
,,
A112,-26.227667,27.688528
,,
A71E,-25.620682,28.079225
,,
A196,-26.212659,28.160047
,,
4A11,-26.312115,28.007898
,,
A695,-26.333587,27.87444
,,
A678,-26.096964,28.149409
,,
591C,-26.297162,27.94991
,,
A6F3,-25.790106,28.335287
,,
A74D,-26.243281,27.959286
,,
A79D,-26.280139,27.963619
,,
DB57,-26.150019,27.880512
,,
593B,-26.213409,28.199273
,,
DE45,-26.177953,28.266715
,,
A7F2,-26.220303,28.310459
,,
A69B,-26.658425,27.970984
,,
A773,-26.726483,27.837927
,,
A7EC,-26.662664,27.892066
,,
502A,-26.238035,28.153246
,,
4ACE,-26.515788,27.891843
,,
A7ED,-25.667324,28.370375
,,
8C3B,-26.165673,27.68232
,,
8405,-26.098711,27.745015
,,
9FF2,-26.02323,27.91982
,,
DD25,-26.000829,28.31602
,,
83EB,-26.330531,28.097146
,,
590E,-25.71749,28.324342
,,
A784,-26.369377,28.40431
,,
9C3A,-26.324903,28.445404
,,
DDA3,-26.158833,27.787455
,,
A938,-26.432322,28.509726
,,
51EF,-25.589929,28.105976
,,
9F96,-26.621325,27.941239
,,
44CC,-26.493011,27.493921
,,
9B92,-26.155165,27.937833
,,
4A5F,-26.123398,27.857148
,,
4F7F,-26.181007,28.175576
,,
9F5A,-26.356542,27.333831
,,
9FB1,-25.860463,27.529873
,,
C0DB,-26.02857,28.13355
,,
A6B7,-25.97195,28.13313
,,
E038,-25.945144,28.097098
,,
E040,-25.884904,28.108421
,,
DBB1,-26.170557,28.145217
,,
A93B,-26.246513,28.040002
,,
E036,-26.257169,28.016342
,,
505E,-26.28483,28.11032
,,
A6E0,-26.38074,28.16244
,,
C0C1,-26.031026,27.878244
,,
4466,-25.98965,27.93978
,,
DD24,-25.867731,28.330204
,,
878B,-26.528222,28.364044
,,
DB68,-26.173749,27.647125
,,
DB6A,-25.770222,28.050739
,,
A754,-26.153788,27.928249
,,
A14A,-26.248881,28.060398
,,
DB76,-26.272102,27.976553
,,
A679,-26.222405,28.291762
,,
A652,-26.112091,28.181295
,,
51FF,-26.190662,28.318045
,,
A183,-25.748217,28.232847
,,
44D3,-25.997143,27.536283
,,
4422,-26.1423,27.8392
,,
A6BC,-25.8624,28.1377
,,
4A04,-26.021888,28.008093
,,
A1FB,-25.81132,28.31168
,,
A699,-26.0621,27.9023
,,
A1F5,-26.1021,27.859
,,
A658,-26.5636,27.9282
,,
5004,-26.3585,28.1038
,,
A6B1,-26.315398,28.1492
,,
4991,-25.962205,28.097638
,,
DD2D,-26.103824,27.92622
,,
A67A,-26.098957,27.979436
,,
C0BC,-26.206817,28.037946
,,
8F57,-26.420087,28.107813
,,
A656,-25.802393,28.243055
,,
A653,-26.25707,28.238
,,
53D5,-26.09267,28.03669
,,
C0CD,-25.762698,28.304495
,,
8F55,-25.98965,28.20916
,,
51DB,-26.195779,28.396261
,,
C99D,-26.09272,28.24823
,,
7276,-26.419247,27.874224
,,
C09D,-25.579767,28.017575
,,
A14D,-25.658003,28.199315
,,
A738,-25.697379,28.290654
,,
A76C,-25.992817,28.106918
,,
A6DC,-26.170954,27.884478
,,
4A24,-25.778311,28.380813
,,
4ADE,-26.257873,28.290842
,,
A6CB,-26.755583,27.712694
,,
A1FA,-26.285592,28.470406
,,
A921,-26.21312,28.00525
,,
C0BA,-26.100435,28.117885
,,
4BB4,-26.041389,28.181558
,,
C0A9,-25.8192,28.15161
,,
4470,-25.827504,28.204839
,,
7555,-25.75052,28.214002
,,
E035,-25.76769,28.25195
,,
A747,-25.79224,28.3104
,,
92C9,-26.29337,28.05024
,,
4B17,-26.15445,28.15918
,,
5082,-26.157352,28.088323
,,
591D,-25.766169,28.205734
,,
C0D2,-26.26136,27.910667
,,
C09A,-25.72525,28.1793
,,
C07C,-26.526707,28.036088
,,
DD90,-25.720561,28.103705
,,
DD8D,-25.648306,28.098596
,,
8D1C,-26.00994,27.959113
,,
4489,-25.721877,28.403746
,,
DD93,-26.137432,28.433428
,,
5288,-26.074408,28.039449
,,
4AED,-26.264976,28.119669
,,
591A,-26.25076,28.439137
,,
4437,-25.749051,28.132505
,,
43DB,-25.93437,27.927085
,,
43D9,-26.094411,28.08974
,,
522A,-26.054271,28.022342
,,
448F,-26.177555,27.705485
,,
43D7,-26.299463,28.0616
,,
5966,-26.316193,28.199906
,,
4A74,-26.532559,27.859254
,,
A6E4,-26.702218,27.836599
,,
A655,-26.18703,28.049256
,,
596F,-26.040275357951142,28.024234771728516
,,
50A5,-26.09876,28.050244
,,
5234,-25.873232,28.193628
,,
5252,-26.06991,28.09231
,,
51EE,-26.557253,28.014281
,,
4A9B,-26.257456,28.267599
,,
5056,-26.061126,27.834481
,,
51F6,-26.270395,27.875526
,,
837A,-26.396432,27.580721
,,
9570,-26.01512336435186,28.10707077383995
,,
936C,-25.670441690141825,28.11211735010147
,,
93B2,-26.266433,27.982724
,,
EA8D,-26.245757,28.353823
,,
A744,-25.969631,28.050923
,,
8341,-26.146914,28.036776
,,
93A3,-26.062258,28.010825
,,
4B4D,-26.146732,28.043472
,,
522B,-25.940074,28.044434
,,
A78C,-26.205648,28.047069
,,
498B,-26.103552,28.050744
,,
5915,-25.860179,28.214829
,,
4AEF,-25.890975,28.218529
,,
51DF,-25.718635,28.249584
,,
7882,-25.767238,28.364664
,,
4495,-25.756178,28.237009
,,
5919,-26.112535,28.053078
,,
6D7F,-26.098233,28.055486
,,
49E9,-26.109236,27.872336
,,
57F6,-25.792927,28.079898
,,
500E,-26.091295,28.006811
,,
57F1,-25.761205,28.337517
,,
4348,-26.142405,28.214734
,,
5202,-26.180832,28.241622
,,
A133,-26.085489,27.918344
,,
9DBE,-25.771945,28.234452
,,
A6B0,-26.209646,28.051143
,,
A6BF,-26.203421,28.068346
,,
5942,-25.746504,28.314337
,,
A66A,-23.911947,29.453953
,,
51ED,-23.880742,29.738005
,,
8385,-24.192832,29.016148
,,
5923,-23.681743,29.610585
,,
50AF,-24.799462,28.433593
,,
50AB,-23.950117,31.137504
,,
5974,-23.827623,30.161362
,,
503F,-24.883739,28.291687
,,
49C0,-24.190431,28.996853
,,
7554,-24.094854,28.967975
,,
51D5,-24.961003,29.294713
,,
49BD,-24.295023,28.122012
,,
A6DB,-22.992159,29.907952
,,
436E,-24.518683,28.711912
,,
49D9,-23.839137,29.388792
,,
4ADF,-23.154252,30.049114
,,
7DA1,-23.883853,29.439045
,,
8408,-24.889827,28.317254
,,
A71D,-25.162167,29.385465
,,
75C7,-24.697042,28.438179
,,
5ACB,-23.880625,29.401832
,,
82FF,-23.826584,31.687013
,,
50A7,-24.576436,27.397973
,,
9CE5,-23.309371,31.266072
,,
9777,-22.899724,30.252561
,,
A737,-22.950091,30.448223
,,
A7AD,-22.900365,30.026528
,,
A730,-23.003467,30.234098
,,
5957,-23.981289,29.954373
,,
49BA,-22.567804,30.811851
,,
9DB0,-23.295561,30.747237
,,
9FE1,-24.027771,29.3205241
,,
9F2C,-23.001489,27.945075
,,
A15A,-24.261701,30.456822
,,
9F7F,-24.733549,30.207411
,,
A72C,-24.954394,27.268187
,,
7FAA,-24.969184,31.593546
,,
A7AB,-23.063905,29.719937
,,
5964,-22.747802,30.510942
,,
A7EB,-24.202318,29.648036
,,
A1EA,-23.61917,30.25658
,,
C086,-27.794441,22.998158
,,
A174,-22.63907,30.23227
,,
88B5,-22.597752,30.329066
,,
EC25,-24.791015,28.122863
,,
A764,-24.52502,31.42124
,,
4A62,-23.892042,29.462642
,,
A724,-23.924193,29.436826
,,
A67D,-23.867242,30.184809
,,
A696,-23.939644,31.113367
,,
DB75,-23.870124,29.509483
,,
A926,-23.368515,29.326396
,,
9FAD,-24.65567,29.94344
,,
A801,-24.907528,29.767995
,,
5251,-22.353586,30.031957
,,
A14C,-24.686313,30.192825
,,
A68B,-23.882361,29.703139
,,
A18B,-22.978352,30.466704
,,
448B,-25.085045,28.306027
,,
5965,-24.350525,30.95126
,,
5916,-24.676579,30.330509
,,
51FE,-23.308239,30.692641
,,
A1F7,-23.611288,28.824026
,,
9F3C,-23.677746,27.736274
,,
49AB,-24.356987,29.314095
,,
4B19,-24.310179,29.47582
,,
A14E,-24.423243,29.770596
,,
8300,-24.770242,29.869577
,,
DD0F,-24.415853,30.089386
,,
9FE5,-23.16559,30.227188
,,
9FE2,-23.265248,28.431683
,,
4B2C,-23.001783,30.687981
,,
A6D4,-23.979095,30.274093
,,
9DBF,-23.88842,30.296845
,,
57E1,-23.113281,30.516604
,,
A119,-24.852526,29.952703
,,
9E1A,-25.256779,29.145871
,,
9774,-24.273285,29.844983
,,
8340,-24.053216,29.673636
,,
9FA0,-23.289945,29.14487
,,
5010,-25.313951,29.440087
,,
